Nivel en el que te encuentras actualmente:;Nombre(s) ;Apellidos;Género;Fecha de nacimiento;Lugar de nacimiento ;NACIONALIDAD;Edad;Tipo de documento de identificación;Número de identificación (sin comas ni puntos);Ciudad en la que vive;Barrio o corregimiento donde vive;Comuna;Estrato socioeconómico;Dirección;Número de teléfono;Escolaridad (grado o programa que estés cursando actualmente);Colegio en el que estudia (o estudió para los de Mundo cotidiano);Si tu respuesta anterior fue otra, indica cuál colegio:;En el caso de que estés cursando un programa de pregrado universitario o programa técnico o tecnológico ¿cuál?;En el caso de que estés cursando un programa de pregrado universitario o programa técnico o tecnológico ¿En qué institución educativa? ;¿Qué temática o curso del colegio o institución universitaria disfrutas más? ;¿Qué temática o curso del colegio o institución universitaria es más difícil para ti?  ;¿Tienes alguna responsabilidad especial diferente al estudio? ;¿Perteneces a alguna organización, equipos o clubes dentro y fuera de la Institución educativa? (diferente a Soroca) ¿Cuáles?;¿Qué te gusta hacer en tu tiempo libre? (además de pasar tiempo con tus amistades);¿Actualmente, te encuentras trabajando?;En caso de haber respondido afirmativamente en la respuesta anterior, escribe qué labores desempeñas, dónde y hace cuánto;"¿Qué carreras/profesiones/oficios te interesaría que podrías estudiar/aprender? (si ya lo estás estudiando puedes responder ""lo estoy haciendo"")";¿Estás actualmente afiliado a EPS?;Nombre de la EPS;En caso de haber respondido OTRA en la respuesta anterior, indique el nombre de la EPS ;Nombre de la IPS donde es atendido/a por urgencias;Adjunta certificado EPS;Tipo de sangre;¿Presenta alguna discapacidad? ;En caso de haber respondido afirmativamente la respuesta anterior, seleccione ¿Cuál?;¿Cuenta con algún diagnóstico médico de enfermedad, discapacidad, limitación o tratamiento? ;En caso de haber respondido afirmativamente en la respuesta anterior, ¿Cuál? ;¿Tiene alguna alergia? ;En caso de haber respondido afirmativamente en la respuesta anterior, ¿a qué reaccionas con alergia? ;¿Se encuentra en tratamiento médico y/o farmacológico? Descríbalo ;Composición familiar (¿Con quiénes vives en tu casa?) ;¿Cuántas personas viven en tu casa? incluyéndote;Ingresos Familiares mensuales   (salario mínimo vigente a 2025 $1.423.000);¿Fuiste víctima del conflicto armado?;¿Te encuentras inscrito/a en el Registro Único de Víctimas?;¿Con qué etnia te identificas? ;¿Alguien de tu familia/red de apoyo primario están buscando empleo?;La Fundación Ser para Ser, al ser aliada de Compromiso Valle, tiene la posiblidad de recomendar .  En caso de responder a la anterior pregunta si.  Bríndanos su nombre, parentesco y número de contacto.;Nombres  y apellidos de tu acudiente principal;Tipo de documento de identidad;Número de documento de identidad (sin comas ni puntos);Número de teléfono 2;Género 2;Parentesco ;Edad 2;¿Trabaja actualmente?;¿Qué labor desempeña?;Tipo de vinculación laboral ;¿Con qué grupo poblacional te identificas?;Nombres  y apellidos;Tipo de documento de identidad 2;Número de documento de identidad (sin comas ni puntos) 2;Edad 3;Número de teléfono 3;Género 3;Parentesco  2;¿Trabaja actualmente? 2;¿Qué labor desempeña? 2;Tipo de vinculación laboral  2;¿Con qué grupo poblacional te identificas? 2;Se tiene la autorización firmada por el acudiente en documento físico ;Parentesco  3;Régimen de afiliación;Nacionalidad2;En el caso de que hayas respondido otra en la pregunta anterior, indique ¿cuál?;Column 79;ID. DOCUMENTO SUBIDO DRIVE ;EPS. SUBIDO AL DRIVE;CONSENTIMIENTO SUBIDO AL DRIVE 
Universitario;Tomás;Rodríguez Rodríguez;Masculino;12/03/2001;Palmira, Valle del Cauca;Colombiana;25;Cédula de Ciudadanía;8940459024;PALMIRA;Siloé;6;1;Cll 72 #14-09;3518170732;Grado 11;Otra;;Administración de Empresas;Unicatólica;Inglés;Cálculo;Apoyo en negocio familiar;Semillero de investigación;Leer, escuchar música y caminar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Ingeniería de software;Sí;Sura;;IPS Valle Salud;LINK ADJUNTO COPIA EPS;O-;No;;Sí;Asma controlada;Sí;Ácaros;No;Mamá y hermanos;5;Entre 1 y 2 SMV;Sí;Sí;Mestizo/a;Sí;David Torres, Padre, 3076806636;Laura Díaz;Cédula de Ciudadanía;1808606911;3348055494;Femenino;Tía;32;No;Independiente;Informal;Madre cabeza de hogar;Sofía Moreno;Cédula de Ciudadanía;2252300778;35;3506907016;Masculino;Hermano/a;No;Independiente;Informal;Ninguno;Sí;Abuela;Subsidiado;Colombiana;;;;;
Universitario;Natalia;López Ramírez;Masculino;13/04/2007;Buga, Valle del Cauca;Colombiana;19;Cédula de Ciudadanía;8923649293;BUGA;Meléndez;10;2;Cra 39 #44-10;3586386106;10;Colegio Comfandi;;Ingeniería Industrial;SENA;Diseño;Cálculo;Cuidado de hermanos;Semillero de investigación;Ver películas y jugar videojuegos;Sí;Mesero/a los fines de semana, hace 1 año;Administración de empresas;Sí;Coosalud;;Clínica Colombia;LINK ADJUNTO COPIA EPS;O-;No;;No;;Sí;Penicilina;No;Mamá, padrastro y hermanos;2;Entre 2 y 3 SMV;No;No;Ninguna;Sí;Juan José Castro, Hermano/a, 3459333737;Nicolás Ramírez;Cédula de Ciudadanía;9156893140;3622607071;Masculino;Abuela;58;No;Oficios varios;Formal;Migrante;Paula Moreno;Cédula de Ciudadanía;5116603346;41;3166730896;Masculino;Abuela;No;Empleado/a;Formal;Víctima del conflicto;Sí;Hermano/a;Subsidiado;Colombiana;;;;;
Universitario;Sebastián;Torres Gómez;Femenino;3/01/2004;Cali, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;6342705741;CALI;Vipasa;18;3;Cra 15 #23-45;3690627548;11;Colegio Comfandi;;Contaduría Pública;SENA;Programación;Cálculo;Labores del hogar;Grupo juvenil;Dibujar y escuchar música;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Marketing digital;Sí;Sanitas;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;O-;Sí;Visual;No;;No;;No;Mamá y hermanos;6;Menos de 1 SMV;Sí;Sí;Ninguna;No;;Paula Moreno;Cédula de Ciudadanía;3000966947;3961718652;Masculino;Hermano/a;43;Sí;Oficios varios;Independiente;Víctima del conflicto;Mateo López;Cédula de Ciudadanía;1516490927;26;3941524262;Masculino;Tía;Sí;Empleado/a;Informal;Migrante;Sí;Padre;Contributivo;Colombiana;;;;;
Universitario;Gabriela;Moreno Vargas;Masculino;15/01/2007;Cali, Valle del Cauca;Colombiana;19;Cédula de Ciudadanía;3893263273;CALI;Caney;7;1;Cra 66 #9-18;3773456576;11;Normal Superior;;Administración de Empresas;SENA;Comunicación;Lectura crítica;Cuidado de hermanos;Semillero de investigación;Dibujar y escuchar música;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Administración de empresas;Sí;Sanitas;;Clínica Versalles;LINK ADJUNTO COPIA EPS;O+;No;;No;;Sí;Mariscos;Suplementos vitamínicos;Papá y hermanos;2;Más de 3 SMV;No;No;Afrocolombiano/a;No;;Valentina Moreno;Cédula de Ciudadanía;7978309097;3736860672;Masculino;Hermano/a;64;No;Independiente;Temporal;Migrante;Camila Pérez;Cédula de Ciudadanía;6133276750;36;3518507396;Femenino;Padre;Sí;Empleado/a;Independiente;Víctima del conflicto;Sí;Hermano/a;Contributivo;Colombiana;;;;;
Universitario;Gabriela;Pérez Gómez;Masculino;12/07/2002;Tuluá, Valle del Cauca;Colombiana;23;Cédula de Ciudadanía;7094502456;TULUÁ;Vipasa;15;4;Cra 66 #9-18;3948871823;Grado 11;Otra;;Tecnología en Desarrollo de Software;Javeriana Cali;Programación;Estadística;Labores del hogar;Grupo juvenil;Compartir con la familia y descansar;Sí;Mesero/a los fines de semana, hace 1 año;Psicología clínica;Sí;Sanitas;;Clínica Versalles;LINK ADJUNTO COPIA EPS;O-;Sí;Auditiva;No;;No;;Tratamiento odontológico;Papá y hermanos;2;Más de 3 SMV;No;No;Indígena;Sí;Andrés Moreno, Tía, 3298559200;Natalia García;Cédula de Ciudadanía;2293175016;3595364224;Femenino;Hermano/a;55;No;Comerciante;Informal;Migrante;David Moreno;Cédula de Ciudadanía;9373956883;60;3977864296;Femenino;Hermano/a;No;Independiente;Temporal;Víctima del conflicto;Sí;Padre;Contributivo;Colombiana;;;;;
Universitario;Valentina;García Rodríguez;Femenino;31/12/2002;Buenaventura, Valle del Cauca;Colombiana;23;Cédula de Ciudadanía;4330734068;BUENAVENTURA;El Ingenio;19;2;Cra 15 #23-45;3840282989;9 Semestre;Santa Librada;;Trabajo Social;SENA;Física;Química;Apoyo en negocio familiar;Grupo de danza;Dibujar y escuchar música;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Ingeniería de software;Sí;Coosalud;;Carlos Holmes Trujillo;LINK ADJUNTO COPIA EPS;O-;No;;No;;Sí;Penicilina;Control médico general;Abuela y tíos;7;Más de 3 SMV;No;No;Indígena;No;;Lucía Rodríguez;Cédula de Ciudadanía;5799627337;3107833594;Masculino;Padre;52;Sí;Empleado/a;Temporal;Migrante;Natalia García;Cédula de Ciudadanía;8174935183;51;3876031653;Masculino;Hermano/a;No;Comerciante;Informal;Madre cabeza de hogar;Sí;Tía;Subsidiado;Colombiana;;;;;
Media;Sebastián;Vargas Mendoza;Masculino;12/03/2004;Yumbo, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;4577570053;YUMBO;Poblado Campestre;3;3;Cll 13 #27-89;3244610497;10;Santa Librada;;Ingeniería de Sistemas;Fundación Universitaria Católica Lumen Gentium;Biología;Cálculo;Apoyo en negocio familiar;Equipo de fútbol;Leer, escuchar música y caminar;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Ingeniería de software;Sí;Sura;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;O+;No;;No;;No;;Suplementos vitamínicos;Mamá, padrastro y hermanos;3;Entre 1 y 2 SMV;No;No;Ninguna;Sí;Samuel García, Padre, 3834536983;Andrés Hernández;Cédula de Ciudadanía;5706902172;3907248329;Femenino;Tía;60;No;Empleado/a;Formal;Ninguno;Andrés Gómez;Cédula de Ciudadanía;4676116883;27;3338734505;Femenino;Tía;Sí;Conductor;Formal;Ninguno;Sí;Abuela;Subsidiado;Colombiana;;;;;
Universitario;David;García Castro;Masculino;15/08/2003;Jamundí, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;2366150159;JAMUNDÍ;Vipasa;15;3;Cra 66 #9-18;3878474540;10;INEM;;Ingeniería Industrial;Javeriana Cali;Química;Ninguna;Labores del hogar;Grupo juvenil;Leer, escuchar música y caminar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Ingeniería de software;Sí;Emssanar;;IPS Valle Salud;LINK ADJUNTO COPIA EPS;O-;No;;No;;No;;Suplementos vitamínicos;Papá y hermanos;5;Entre 2 y 3 SMV;No;No;Indígena;No;;Isabella Hernández;Cédula de Ciudadanía;3274699807;3913876392;Masculino;Padre;60;No;Conductor;Independiente;Ninguno;Paula Gómez;Cédula de Ciudadanía;5808968228;47;3594303432;Masculino;Madre;Sí;Comerciante;Formal;Madre cabeza de hogar;Sí;Madre;Contributivo;Colombiana;;;;;
Técnico/Tecnológico;Paula;Castro Rodríguez;Femenino;15/08/2003;Cali, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;4482461118;CALI;Vipasa;15;1;Cll 72 #14-09;3471566220;10;Normal Superior;;Diseño de Comunicación Visual;Javeriana Cali;Diseño;Estadística;Labores del hogar;Semillero de investigación;Dibujar y escuchar música;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Ingeniería de software;Sí;Sura;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;O+;No;;No;;No;;No;Papá y hermanos;4;Entre 2 y 3 SMV;No;No;Indígena;No;;Mateo Ramírez;Cédula de Ciudadanía;7494486387;3038473609;Masculino;Padre;29;Sí;Comerciante;Formal;Madre cabeza de hogar;Natalia Rodríguez;Cédula de Ciudadanía;2205636147;29;3026725210;Femenino;Madre;No;Empleado/a;Independiente;Madre cabeza de hogar;Sí;Tía;Subsidiado;Colombiana;;;;;
Universitario;Felipe;Ramírez Martínez;Femenino;29/04/2008;Palmira, Valle del Cauca;Colombiana;17;Tarjeta de Identidad;7288441262;PALMIRA;Meléndez;9;3;Cll 5 #80-22;3867396715;11;Colegio Comfandi;;Ingeniería Industrial;Javeriana Cali;Diseño;Lectura crítica;Labores del hogar;Equipo de fútbol;Dibujar y escuchar música;No;;Diseño gráfico;Sí;Sanitas;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;A-;No;;No;;No;;No;Mamá, padrastro y hermanos;2;Más de 3 SMV;No;No;Afrocolombiano/a;No;;Sebastián Mendoza;Cédula de Ciudadanía;3799144796;3163940983;Masculino;Abuela;38;No;Comerciante;Independiente;Migrante;Sebastián García;Cédula de Ciudadanía;3844539323;53;3776693811;Masculino;Abuela;No;Comerciante;Formal;Madre cabeza de hogar;Sí;Madre;Subsidiado;Colombiana;;;;;
Técnico/Tecnológico;Camila;Rojas Torres;Masculino;8/01/2005;Palmira, Valle del Cauca;Colombiana;21;Cédula de Ciudadanía;9955981487;PALMIRA;Floralia;3;3;Cra 66 #9-18;3110687392;11;Otra;;Ingeniería Industrial;Javeriana Cali;Diseño;Lectura crítica;Ninguna;Semillero de investigación;Jugar fútbol y ver series;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Diseño gráfico;Sí;Sura;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;A+;No;;No;;Sí;Ácaros;Control médico general;Abuela y tíos;6;Entre 2 y 3 SMV;No;No;Indígena;No;;Camila Ramírez;Cédula de Ciudadanía;5697151199;3617264624;Femenino;Tía;46;Sí;Independiente;Independiente;Migrante;Sofía Martínez;Cédula de Ciudadanía;5627115191;22;3138092084;Masculino;Abuela;Sí;Comerciante;Temporal;Migrante;Sí;Hermano/a;Contributivo;Colombiana;;;;;
Media;Laura;Castro Torres;Masculino;10/08/2003;Buga, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;5136979682;BUGA;El Ingenio;16;1;Cra 39 #44-10;3898050734;11;Normal Superior;;Diseño de Comunicación Visual;SENA;Química;Química;Ninguna;Grupo juvenil;Ver películas y jugar videojuegos;Sí;Mesero/a los fines de semana, hace 1 año;Administración de empresas;Sí;Sanitas;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;A+;No;;Sí;Miopía;No;;Suplementos vitamínicos;Mamá, padrastro y hermanos;3;Entre 2 y 3 SMV;Sí;No;Indígena;No;;Isabella Castro;Cédula de Ciudadanía;9788380797;3630340691;Femenino;Padre;63;No;Independiente;Formal;Ninguno;Sebastián Gómez;Cédula de Ciudadanía;8324331802;43;3072536658;Masculino;Madre;Sí;Independiente;Temporal;Migrante;Sí;Tía;Contributivo;Colombiana;;;;;
